2025-02-18 00:43:26,230 | root | INFO | Initializing MySQL database schema
2025-02-18 00:43:26,983 | root | INFO | MySQL database and tables initialized.
2025-02-18 00:43:26,997 | werkzeug | WARNING |  * Debugger is active!
2025-02-18 00:43:26,997 | werkzeug | WARNING |  * Debugger is active!
2025-02-18 00:43:26,998 | werkzeug | INFO |  * Debugger PIN: 762-583-601
2025-02-18 00:43:26,998 | werkzeug | INFO |  * Debugger PIN: 762-583-601
2025-02-18 00:43:30,676 | werkzeug | INFO |  * Detected change in '/backend/src/app.py', reloading
2025-02-18 00:43:30,676 | werkzeug | INFO |  * Detected change in '/backend/src/app.py', reloading
2025-02-18 00:43:31,958 | root | INFO | Initializing MySQL database schema
2025-02-18 00:43:32,535 | root | INFO | MySQL database and tables initialized.
2025-02-18 00:43:32,548 | werkzeug | WARNING |  * Debugger is active!
2025-02-18 00:43:32,548 | werkzeug | WARNING |  * Debugger is active!
2025-02-18 00:43:32,549 | werkzeug | INFO |  * Debugger PIN: 762-583-601
2025-02-18 00:43:32,549 | werkzeug | INFO |  * Debugger PIN: 762-583-601
2025-02-18 00:43:41,928 | werkzeug | INFO |  * Detected change in '/backend/src/app.py', reloading
2025-02-18 00:43:41,928 | werkzeug | INFO |  * Detected change in '/backend/src/app.py', reloading
2025-02-18 00:43:43,451 | root | INFO | Initializing MySQL database schema
2025-02-18 00:43:44,623 | root | INFO | MySQL database and tables initialized.
2025-02-18 00:43:44,815 | werkzeug | WARNING |  * Debugger is active!
2025-02-18 00:43:44,815 | werkzeug | WARNING |  * Debugger is active!
2025-02-18 00:43:44,819 | werkzeug | INFO |  * Debugger PIN: 762-583-601
2025-02-18 00:43:44,819 | werkzeug | INFO |  * Debugger PIN: 762-583-601
2025-02-18 00:43:45,642 | werkzeug | INFO |  * Detected change in '/backend/src/app.py', reloading
2025-02-18 00:43:45,642 | werkzeug | INFO |  * Detected change in '/backend/src/app.py', reloading
2025-02-18 00:43:45,648 | werkzeug | INFO |  * Detected change in '/backend/src/app.py', reloading
2025-02-18 00:43:45,648 | werkzeug | INFO |  * Detected change in '/backend/src/app.py', reloading
2025-02-18 00:43:47,394 | root | INFO | Initializing MySQL database schema
